Survived,Sex,SibSp,Cabin,Embarked,AgeGroup
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,C,adult
1,female,0,0,Q,child
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,child
0,male,4,0,S,child
1,male,0,0,S,child
0,female,1,0,S,adult
0,male,0,0,S,adult
0,male,0,1,S,adult
0,male,4,0,Q,child
1,female,1,0,S,child
0,male,0,0,S,adult
0,male,0,1,C,adult
0,male,1,0,S,adult
0,female,0,1,C,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,4,0,S,child
1,male,2,1,S,child
1,female,0,0,S,child
1,male,0,0,S,adult
0,male,1,0,Q,adult
0,male,0,0,S,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
1,female,1,0,S,adult
1,male,1,1,S,child
1,female,0,1,C,adult
1,female,0,1,C,adult
0,male,0,0,S,adult
0,female,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,C,adult
1,male,0,0,S,adult
0,female,0,1,S,child
0,male,1,0,S,adult
1,male,0,0,C,adult
1,female,0,0,Q,child
1,male,0,1,C,adult
0,male,0,0,S,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,1,1,C,adult
1,female,0,0,S,adult
0,male,1,0,S,adult
1,female,0,1,C,adult
0,male,0,0,S,adult
1,male,0,0,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
1,male,1,1,S,adult
0,male,0,0,S,adult
1,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,1,1,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,4,0,S,child
0,male,0,0,S,adult
0,male,1,0,S,adult
1,female,0,0,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,C,adult
0,male,2,1,Q,adult
0,female,0,0,S,adult
1,female,0,0,S,adult
1,male,1,1,S,adult
0,male,1,0,S,adult
0,female,1,1,S,adult
0,male,0,1,S,adult
0,male,1,0,S,adult
0,female,0,0,S,adult
1,female,0,0,C,adult
1,female,0,1,S,adult
1,female,0,0,C,adult
1,female,0,0,S,adult
1,male,4,0,S,child
0,male,1,1,S,adult
0,male,0,1,S,adult
0,male,0,0,S,adult
0,male,4,0,S,child
1,male,1,0,S,adult
1,female,0,1,S,adult
1,female,0,1,S,adult
1,male,0,0,S,adult
1,female,0,0,S,adult
0,male,0,1,C,adult
1,female,1,1,S,adult
0,female,0,0,S,adult
0,male,4,0,Q,child
1,female,1,0,S,adult
0,male,0,0,Q,elder
0,male,0,0,S,adult
0,male,0,0,S,child
1,male,0,0,S,adult
0,male,0,0,C,adult
1,male,0,0,S,adult
0,male,0,0,S,adult
1,male,0,0,S,adult
1,female,0,0,Q,adult
1,female,0,0,S,adult
1,female,1,1,C,adult
0,male,0,1,C,adult
0,female,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,C,adult
0,female,1,1,S,child
1,female,0,1,C,adult
0,male,0,0,S,adult
1,male,1,1,S,child
1,female,1,1,C,child
0,male,1,0,C,adult
1,female,0,1,C,adult
1,female,0,1,C,adult
1,female,2,1,C,adult
0,female,1,0,S,adult
0,male,0,0,S,adult
0,male,1,0,S,adult
1,female,0,0,S,adult
1,female,1,0,S,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
1,female,1,1,C,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,0,Q,adult
1,female,1,0,S,adult
1,female,0,1,C,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
1,female,1,0,S,adult
1,female,0,1,C,child
0,male,0,1,S,adult
0,male,0,1,S,adult
0,male,2,0,S,child
0,male,1,1,S,adult
1,female,0,1,C,adult
1,male,0,0,S,adult
0,male,0,1,S,adult
1,male,1,1,S,child
1,female,3,1,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
1,female,0,0,S,adult
1,male,1,0,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,1,0,C,child
0,male,1,0,S,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
0,female,0,0,S,adult
0,male,1,0,S,adult
0,male,1,0,C,adult
0,female,0,0,C,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,1,1,C,adult
1,female,0,1,C,adult
1,male,1,1,C,adult
0,male,1,0,S,adult
0,male,0,0,S,adult
0,male,0,0,C,adult
0,female,3,0,S,child
1,female,0,0,S,adult
0,male,0,1,C,adult
0,male,0,0,C,adult
0,male,0,0,S,adult
1,female,0,0,C,adult
1,female,0,0,C,child
0,male,0,0,S,adult
1,female,1,0,S,adult
0,male,0,0,S,adult
0,male,5,0,S,child
1,female,0,0,S,adult
1,female,0,0,C,child
1,male,1,1,S,adult
1,male,0,0,S,adult
0,male,2,0,S,adult
1,female,1,1,C,adult
1,female,0,1,S,adult
0,male,0,0,S,adult
0,female,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,0,S,adult
1,male,0,0,S,adult
0,male,0,0,S,adult
0,female,1,0,S,adult
0,male,1,0,S,adult
0,female,0,0,S,adult
0,male,1,0,S,adult
0,male,0,0,S,adult
1,male,1,0,S,child
0,male,0,0,S,adult
1,female,1,1,Q,adult
1,male,0,0,S,adult
1,female,1,0,S,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
0,female,0,0,S,child
0,male,0,0,Q,adult
0,male,0,0,S,adult
0,female,1,0,S,adult
0,male,1,0,S,adult
1,female,1,0,S,adult
1,female,0,0,S,adult
1,male,0,1,S,adult
1,male,0,1,S,adult
1,female,1,0,S,adult
0,male,0,0,S,child
0,male,1,1,S,adult
1,female,1,1,S,child
0,female,2,0,S,adult
1,female,2,0,S,adult
0,male,1,1,S,adult
0,male,0,0,S,adult
1,female,1,0,S,adult
0,male,0,0,S,adult
0,male,1,0,S,adult
1,female,0,0,S,adult
1,male,0,1,S,child
1,female,0,0,S,child
1,male,0,0,S,adult
1,female,2,0,C,child
1,male,0,1,S,adult
0,male,1,0,S,adult
0,male,0,1,C,adult
1,male,1,1,C,adult
1,male,0,0,C,adult
0,male,0,1,S,elder
1,female,0,0,S,adult
1,male,0,1,S,adult
0,male,0,0,S,adult
0,male,0,1,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,2,0,C,child
0,male,0,0,S,adult
1,female,1,0,S,adult
1,female,0,1,C,adult
0,female,0,0,S,adult
0,male,1,0,S,adult
0,male,1,0,S,adult
0,male,0,0,S,adult
1,female,0,0,S,child
0,male,5,0,S,child
0,male,0,0,S,adult
1,female,0,0,S,adult
1,male,1,1,C,adult
1,female,1,1,S,adult
0,male,0,1,C,adult
0,male,0,0,S,adult
1,male,1,0,S,child
0,male,0,0,S,adult
0,male,0,1,S,adult
0,male,0,0,C,elder
0,male,0,0,S,adult
1,female,1,1,C,adult
0,female,1,1,S,adult
0,male,0,0,S,adult
0,male,0,0,S,child
0,female,0,0,Q,adult
0,female,0,0,S,adult
1,female,0,1,S,child
0,male,1,1,C,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
1,male,0,0,S,adult
1,male,0,0,Q,adult
1,male,0,1,S,adult
1,female,1,0,C,adult
0,male,0,0,S,adult
0,male,0,1,S,adult
1,female,0,1,S,adult
1,female,1,0,S,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
0,male,0,0,S,adult
1,female,0,1,C,adult
0,male,0,0,Q,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
0,male,2,0,S,adult
1,female,1,0,S,child
0,male,1,0,C,child
0,female,0,0,S,adult
1,female,0,0,S,child
0,male,0,1,S,adult
1,female,0,0,C,adult
1,female,0,1,C,adult
1,female,0,1,S,adult
0,female,4,0,S,child
0,female,4,0,S,child
1,male,1,0,S,adult
0,male,1,1,C,adult
0,male,0,0,S,adult
1,female,1,0,S,adult
0,male,1,0,S,adult
1,male,1,0,S,child
1,male,0,1,C,child
0,male,0,0,S,adult
1,male,0,0,C,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
1,female,1,1,C,adult
1,female,1,1,S,adult
1,female,1,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,2,0,S,adult
0,male,0,0,S,adult
0,female,0,0,S,adult
1,male,0,0,S,adult
1,male,0,0,S,adult
1,female,2,1,S,adult
1,male,0,1,S,adult
0,male,0,0,S,child
0,male,0,0,S,adult
1,female,0,0,S,adult
1,female,1,1,S,adult
1,male,0,0,S,adult
1,female,1,0,S,adult
1,female,1,1,C,adult
0,male,0,0,S,adult
0,male,0,1,C,adult
1,female,0,1,S,adult
0,male,0,0,S,adult
1,male,1,1,C,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,1,1,C,adult
0,male,0,0,S,adult
0,male,1,0,S,adult
0,male,1,0,S,adult
0,male,0,0,S,adult
1,male,1,1,C,adult
1,female,2,0,S,adult
0,male,0,0,S,adult
1,male,0,0,C,adult
0,male,1,0,S,adult
0,male,0,0,S,adult
1,male,0,0,S,adult
1,female,1,0,C,adult
1,female,0,1,S,adult
0,female,1,0,S,adult
0,male,0,0,S,adult
1,female,1,0,S,adult
0,male,1,0,S,adult
0,female,1,0,S,adult
1,female,2,1,S,child
0,male,0,0,S,adult
0,male,1,0,C,adult
1,male,1,1,S,adult
1,male,1,0,C,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,1,S,adult
0,male,0,0,Q,adult
1,female,0,1,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,male,0,1,C,adult
0,female,3,0,S,child
1,female,0,0,S,adult
0,male,0,0,S,adult
0,male,1,0,S,adult
0,female,0,0,S,adult
0,male,0,0,S,adult
1,female,0,1,C,adult
0,female,3,0,S,child
1,female,2,0,C,child
1,male,1,1,C,adult
0,male,0,0,S,adult
1,male,0,1,C,adult
1,female,0,0,S,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
0,female,0,0,Q,adult
0,male,2,0,S,adult
0,female,1,0,Q,adult
0,male,0,0,S,adult
0,male,0,1,C,adult
1,male,2,0,S,adult
0,male,0,0,C,adult
0,male,0,1,S,adult
0,male,0,0,S,adult
1,male,1,0,S,adult
0,male,2,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,1,0,S,adult
0,male,1,1,S,adult
0,male,0,0,S,elder
1,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,0,S,adult
0,female,1,0,S,adult
1,male,0,1,C,adult
1,male,0,1,C,adult
0,male,0,0,S,adult
0,male,5,0,S,child
0,male,1,0,S,adult
0,male,1,0,C,adult
0,male,4,0,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,1,S,child
1,male,1,1,S,adult
1,female,0,0,C,child
0,male,0,0,C,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,1,1,C,adult
0,male,0,1,S,adult
1,female,1,1,C,adult
1,male,0,1,S,adult
0,female,0,0,C,adult
0,male,0,0,Q,adult
0,male,1,0,S,adult
0,male,0,0,S,adult
1,female,0,0,S,adult
1,male,0,1,S,adult
1,female,0,0,S,adult
1,female,0,1,C,adult
1,male,1,1,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,1,S,adult
1,female,0,1,C,adult
1,female,0,1,S,adult
0,male,0,0,S,adult
1,female,0,0,S,child
0,male,1,0,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
1,male,1,1,S,adult
0,male,0,0,S,adult
1,female,3,0,S,adult
0,male,1,0,S,adult
0,female,1,0,S,adult
1,female,0,1,S,adult
0,male,0,0,C,child
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,female,1,0,S,adult
1,male,0,1,C,adult
0,male,1,1,S,adult
1,female,2,1,C,adult
0,male,1,0,S,adult
1,male,0,0,S,adult
0,male,1,1,S,elder
0,male,1,0,S,child
1,female,0,0,S,adult
0,male,1,1,S,adult
0,male,0,0,Q,adult
1,female,1,0,S,child
1,male,0,1,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,1,0,S,adult
1,male,1,0,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
0,male,0,0,S,adult
1,male,0,0,C,adult
1,female,1,1,S,adult
0,male,0,0,S,child
1,female,1,1,S,adult
0,female,0,0,Q,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,female,0,1,S,adult
1,female,1,0,S,adult
0,male,0,0,S,adult
1,female,0,0,S,child
1,female,0,1,S,adult
1,female,0,0,C,child
1,female,1,1,S,child
0,male,0,1,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,0,S,adult
0,male,4,0,Q,child
1,male,1,0,S,child
0,male,0,1,C,adult
0,male,0,0,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
1,female,0,0,S,adult
0,male,0,0,C,adult
0,female,1,0,S,adult
0,male,0,0,S,adult
1,female,1,0,S,adult
1,male,1,1,S,child
1,male,0,0,C,child
1,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,1,S,adult
0,female,0,0,S,adult
0,male,0,0,S,adult
1,female,1,1,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,female,4,0,S,child
0,male,0,0,S,adult
0,female,0,0,S,adult
0,male,1,0,C,adult
0,male,0,0,S,adult
0,male,3,0,S,child
1,female,1,1,S,adult
1,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
0,male,4,0,S,child
1,male,0,0,C,child
1,female,1,0,C,child
1,male,1,0,S,child
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,1,1,C,adult
0,male,0,0,S,adult
1,male,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,child
1,female,0,0,C,adult
0,male,0,0,C,adult
0,male,0,0,S,child
0,male,0,0,S,adult
0,male,0,0,C,adult
0,male,0,0,S,adult
0,male,4,0,S,child
0,male,0,0,S,elder
0,female,1,0,C,child
1,female,0,1,S,child
0,female,1,0,S,adult
1,female,0,0,S,adult
1,female,1,0,S,adult
1,male,0,1,S,adult
1,female,0,0,C,adult
0,male,2,0,S,adult
0,male,1,0,S,adult
1,female,0,1,S,adult
0,male,0,0,S,adult
1,female,0,0,S,adult
1,female,1,0,C,adult
0,male,0,1,S,adult
1,male,1,0,S,child
0,male,0,0,S,adult
1,female,1,1,S,adult
0,male,0,1,S,adult
0,male,0,0,S,adult
1,female,1,0,C,adult
1,female,0,0,C,child
0,male,0,0,S,adult
0,male,0,0,S,adult
1,female,0,1,C,adult
1,female,0,0,S,adult
0,male,0,0,S,adult
0,female,0,0,S,adult
0,male,0,0,S,adult
0,male,0,0,S,adult
0,female,0,0,Q,adult
0,male,0,0,S,adult
1,female,0,1,S,adult
1,male,0,1,C,adult
0,male,0,0,Q,adult
